cycle_id,time_end_end[sec]
5b5b85236d6d0fb695d6e0be6781f749882ab0c0,13
66338dd9c4bf1e76be830749d9bc93c7be35cb2a,8
d50feb67569fb5881b8a2ff5996f656c5f207c2e,16
2a95bf89813ebf321955d191afda7e0b08d69710,13
58fa9a673547c884cd1f11a8927414e563480358,13
0d53852d80cc686b47b4b0c1b2069f880a09b451,8
2e6967a356de82a7a94ac9e0e7ed1c0e6ff142bd,9
0f540f0f5848f2262e1b8937c39e269a79731efc,9
0bbe5b59af443da2c3101cb9259e7ad68152dd13,21
5cf68bdc46c7bcc0fc5eb3cacd1c84514ef552cf,11
f8bf45444c49053a92f6f560c5008d5ac43aa27f,13
af1f8163af8b52bc28a18109858744967935d828,14
c12c48ce91c6b5cceb61043a914d0b438b7a6900,9
31b546aecd87725c8a1274d1485cee89bdddfdce,12
6e8bb88263dd64b703679bf853c15f40ac07e347,12
24a3100e9897837b513a0d9f2ae26fd02ec91246,13
3c4a09bf28e7cd600b919b8c799fbbfd19a94c0b,14
9b3e389fc692513cc701b886a9dcdab6ebf32453,12
b72b5c716ac18150396d05988d9eab745bea02b9,10
8271475f973945e776ca91142349b8618c6f619e,9
8682c8d4f2281f838765a213d0241366255c99a0,11
c9259fd82546bbacf9606509e5883bedde7fb062,9
a73d5f2e9b1f415201b312af8ff4af6a0f7623e1,15
9ebe7bbd313efb49f3496b8af7d4b4b78f73a5b7,12
171c3ac8d32ed884392b057800e691a621585d2a,15
f25588258e520cbf1d388d3d9b48a4942d3d7c28,12
9e1ac89660190ec4d895855655891ad16d790fc4,27
1dcab3f854e6fffa16c842b8a10a6fa2163795ea,13
e6e24766377e705e89358fb9cf6253e2e9e645db,10
1930eed89459d1ea726762e362143a5aa2ccaeb4,14
a2cda30be14b3da01cbbbedc41b70daf6d88da8b,12
ca55bc4cfaead7376599c281abfff94a936f5bf5,13
6eac426de89fe077a181f39452dee6f6ca4c2f52,13
7aa8e75a91013d51348b2e15745972cd6e9aad50,13
a433f625f89c1d464b05186411ff20802e292fb4,4
85fac643b82861f72e0ab52d129e5edf1d873b34,2
1a874af880548c88058d32d5989121df49c47626,1
1239917ec625a84ca27cf3769ff297b3a158e8d9,12
5c53db1f00d95f128ab1f83239728d935d0b4107,1
745c0a4c0773c75e1b5322b322cc97a7e1a303f6,3
