cycle_id,time_end_end[sec]
411ac121c43d6d56420c6811d5d83f6e7a010390,21
5d13050c95911f175fa40822183eb4ee21a50e7b,2
24b6dfd14ee8e82a63317165218a8063b40ffe54,10
9c5dc5b6ac43c7de108277a71a9279364efd4193,16
fda23ed687b7ab4e1d092ff0d1d4fdfa91de9b0c,16
94dfb94e1666c41715a1866ae2e25671dab3e65c,14
c117e035fa483d55a77560f366a760fd4e29eef0,23
a22b4c4778701e05e4e12e06b350a11a8d6521f2,36
09d9573976cd4b9f1de5d04b0b5719913f49f5ea,25
c3920fc30faf3ceec578e5484046ccda2be90315,14
98ea132574604be203d24ccd0c7231f02ef0b08b,13
586482d60f09524f55d7b2c6cb95590b903cf9d6,14
9fb8666e008ae7fad5a77443da1e0924a2f3e771,2
5a0c1c4c60e1feaa29030dd622384376107aee24,15
44dbaffa1e16b968276858fdf481d4df714bfb24,15
6f97c42f2fb81367ac3077286beacd4568ec8050,3
eb0fe9f16ab414d5f3fded567c90b3870915205e,4
a49aabe3b0f43d254f2b42e40a4b989a2869514b,14
e46dcd67ce48788c783912da7e449bb0e9912d94,13
2b114b1fb78bdb367de4753684ba76716340ef9c,14
61fcd15807919bf2ab026f4f6c2855e803a15c1c,15
13e8416405140d1f046d8de1d03bf93d70adbaa1,13
67e7a7d42115342c1cddd2ace9320bda14a2b828,13
93114694c06ae2dd7ac9e4ec03cd65b693e79956,15
097044630e655289623be4dd5036fcd9df4d0a69,3
7a3e6f5e350c135d38dff21aa82cc79c12605db5,3
39a61401d6828ab7832d4e737664fc4d1544193d,3
3ec6b71ea7a0d97eca59ebdd3a5f307784bb9eaa,3
4b7574ca8b605c7f24b8fa08208c93d9422a7edd,16
67162371012ea750f5f869c19d7368bb57ae60d0,15
699fd3871a3f1868df7fed091ebc589fae736fa6,14
78a9fbcac7144841fdaaedc0311d3d087fe61f5a,15
cc976bfa016aa18151a1db02bbedf8051d07aa90,15
a67bc739194c92ed4e28e62a50eabcd073a532c7,15
f2f0ef3a616f4154f384ed0e5e9d1fd804ff50dc,15
cee67126a7859cb615e84041e07c111874d62376,15
2e74b049db1b7f5040a97c05c5357678c44585ae,15
74bbfe166888670edc1955fc87bff9dad0edf391,15
3d9fc10935bbbca65e7db117139b4025411fd1c8,3
3eee6c0b5bf83a43479d04887d1854d524874067,3
37dd278fdbf470e31e7292b788439c45c700a197,3
418b3444ca7171127b632cd0e4c4de93fd4f3a2b,34
1248bf8d54bb6e7effc552ae00444dd9fa6760c2,25
74951e09ad3e2fa7d210489d1d3e6c191509b090,35
f66b47f87961ef83b817ae5a19e9f703e69e174c,37
ea41fc014cdffdfbec11c2ea60bb55470d24ae5b,56
e3f4a014c80d36a5c0bac204da313574077386a9,17
e020119f7cb2b98b9888bc6baefbb43cf438e48a,10
bde4a3111c9675484705a2589dc95bcc80839ed9,16
f81d8513be1bf3ee75230270069146f4f89b94cf,10
5f954828e8f7bd09934eb4b545c8d44bfa4be4bf,16
45d4b38ffd5ff42e3bdfb4b8a5c2c6742721f700,47
3fefd5e19c2425f2763004928bbeb715027509d9,14
a12b80febbe78f5bb1144c88ad4044a07adfc79a,14
02dffb051518983e39a32730391cd8ff8ebf8ced,4
4156c6434c4e5f25498c5efd032cf47f73986ac2,15
8a9cc2a513dc90be1ec362e31e0b145cac8e7e34,3
b366877b0918a359b020dcec48799c595396727f,3
fa88c4d631c4440e3400b6716197c831ea02fb85,10
ba1f2c536ac3a1f865f0f043984430232a06a1c2,14
2f20700e981c1365a6a782338f1631799d44fa82,15
f2738a847a0f777cafb30b378778508979b7f31d,15
1b52c6a88c073149cbc5c64878bc0546274b60a0,4
dc14c05e165fe7e817d15fd296b84956fc3b5775,42
c019631e8f32cf93a0217791232e404b36330e70,23
5c525963554c59fdb6a4b2be9dbea2796c66b025,22
25c9f11a19c76cba628e4751d5987df79258a64d,51
8e780ad009d9911984f3230ec6d45b07db6687b6,26
2851472460b6f70d1fdb3942ef91375cfcb01b71,15
67bf698634e6d226c09015e6cf1bd4b6db05fa0f,14
7f3e98eed2af64c346465ecca218916a8d25c2e2,15
85e695639a1d09ce5ba495468c65a6744c8bcc5e,20
b3027a902b5973b57aa7aa487e08222309bc258b,84
e083b21b0f97e70cefd4972fe56bf91cf3e06bf0,64
290b563600f087f2e12513bf8884b2db26c6d011,3
57eb70e145b566b0ed60b2131b57bde6775eff03,47
5bb39d306881a9db05d09a3813f9bbf5b24780f7,15
eb471913f14a4cce12ff847590b8a6d2f856f999,24
6af5c8e92cba5f88120e3838d32551f5f5c1518d,54
c090c720f1b3669f4565e10c965e1dcab9c3143a,46
899fd09ae8d91127dbb46ea91bd0652596af6cf7,17
f535c96f2fcbe855f1c7d0226f4255ee053f1f29,51
0225d97061b8ff601cdd5b9c65b94277ef6e794d,51
8e9ddc7fda8934b4e9376bc7cff0271e7c35ab7a,53
96fe89e96cb54a34cd6660a702a8cebcad2913f3,3
18a38003c64aa9d34328778f33c7ea2e941931d0,4
9b123998b0b33ddbdef1bb7fd538d67f06d50121,15
0be30783bd1de6b11c753af751c9f502c315bab5,17
d30f682109b66580ec683a683ce08320bf113eed,15
9c3eaa746e837d605595c889e4441b9f458c0b5b,52
592f2169090bda5c62f0d2d9bb9ddcc8a1e0bab4,15
7ad3457e305cd4bdc2dda23f47866a1ff8b3fdbf,14
29998cd2bde0487657708431b59226252250d138,4
637458b5f396cfc156288457d0507474a52bf70d,16
13e223cfa53e91e6c852a400e362466eb11f8ce7,17
43ae7b34461aa9c65f88c1c9ca083f82d46351e6,11
93679bdc74d8de6d236f7832d0ce379cf4554e4d,4
4710faf2018c613900f1ed4827402cd0a427822a,15
7575e6bcc3efafe81aaaf8aeac50b85fc8d96f60,15
c699e3631fc0b292c77e74e1b6940f8286f783f2,15
934087305b506ff4b2628cd9807a0649747cf550,14
7f5d1b745fb6033b55647e5aacf1249fdbad08fd,15
db219baeec966a97a69627aaae722c03c3fd29c6,14
b6b80ebb7023b4f3ac657f4875b779f89f996799,5
6660aeec6eea41b203ecfcac8cf6fa02ae978f69,48
030a160462cbf129e170b92ee296310ad0139dc8,76
725c8deb6276d930767f588a65dcce803dd6e10c,51
73052e59def61ed60e1ad71d29b227bcf14daa84,17
fb0f8365319c042e65608f5ddcdd5d2649513896,62
b3fe36bb69150c6b224ee470676f0dfe437031e3,5
bb5525efda663ffc6ac397063caa89062610feae,14
f85f15377ec2d763dcc34c40aff6552166f43570,15
fbf78367c796fb451cde9b03f7ec8743ba4a46f7,11
5a0336b02b183b86e52a39934f73f83655acbef2,13
23797b80bd4f6f1e63dcb9696cae24a606c3156e,3
27d41e20c2aeea6a254951dca71d5b2b0a579f3c,94
43714bf156811333b46e605a4e16c596abf9b8d8,68
e6cccde796ab8d86c7e8cd50357241bb65013b57,49
7013973ace1f7dbc86e60efd22ebadde7d75811c,76
59cb7cc57f42a6884cf1cc4bdf497be6fe1361ad,13
24b4bdae178d1624ac6d9950e6bac89664d7c682,14
c262d207d6b24c790ac481e188ca2a0fc37a09a6,51
348af04c6fcdfec0876381efac527196e3e7f10a,14
d61e69628a29eb6df3c445ac5788fc2186fdf283,45
7aa85069750c58427c296d38268a833676c401cd,58
40789efa9dd7e9bbdf9dfea1f10c93de0389c3ae,48
3abb4d8e78ad17f433210c87ff8b9cf5842886fc,16
133035a898dad05b8dc81f56b01e9aef224eb6e5,45
4df7f79f375ca5d92e0bf1c788cad59769153bcc,4
b36a599aad54e8902c09aba1fa31f3c1b3006bd6,54
61ad6ffc62ad843511b2b1f8412a05a91b052287,3
8b528450e3d5780889c51fa8dc7c266d252da5ea,5
6869c6d18555cb9dee0942fa6e55a64c395a1465,14
e58434b7e4482a6e2a7fb2a8d974bd9588bc8039,14
5e015e76ccea30e1241a0206580a38e1cc0eb011,14
50d7498064d530a18b10ea6a09370511a3c711a1,16
4e9f9adc54d48eb0519d99a020183785fe35ce91,3
90e965b107a70ba0e8cde7a7b39a4338a3f76ad1,4
d1cb5e67a233c1371f898176cd30ce00de4481be,56
f4d313783f9daad1fb05af35c9bf7f255494f9f8,15
587f0ed7050830b0a61315e1bdd5c8f27a85a7f3,26
f35c5a3f48e808ab411055cbf6a0b41147181f9f,6
893f3c95f21507843ef690cabe4d250fd2a84989,3
f9692079f06000238f9c7af6ed5e231e050bb294,4
3dea195c02524a2c9b72af0528f80552a050cf57,3
80bce6c9993bf286b17278dad3538820869f7811,4
ff7138c0211b17ee8ee5faf8a40def3b9436f148,16
110394f853064e0442850417da3b77519a44b146,4
7e28e8bdedab5ae6c269ebb7145e833a9ecddde2,14
95e968e849c053dc8396058d036a16e7eb69e75c,45
8b20fa47401c74ca465d63815061dd25be358e76,16
b5ec641922fcb1f9325b0c9b5d1913cdb1cfbd3d,16
03197e5c7aafabfe7fbef0b664bad00cc9243780,4
6bf3d3eedb3883e7a038dba6a95d95afe17dda36,13
ee9bc1cca780fae77f8b3744137b5e2aace5bd37,34
7900cfc98f221396a3c7b922dc4b51bb0961ae68,14
92440e4206a12ffd455def326c181058b53b6681,14
a9dd595adf937e785db6300f1dccae200d72a194,4
b4123bad4cd30ce8fb515a791b1d654bb838106f,14
deaa5cae5aded29c7563b0b2140ebbe53de2a558,58
a603a06c380cd39764fc76fa4343846d9cfd9f23,50
0b993b7f29f55189237026dcc8411a3ceeacbdc9,46
a7c4c7d6f279e8ad13e085668ec7abfcd41aeaec,47
01a38af2af91a55bc0890ca7fa4e0a05c3a70674,37
e1127f41f3af5f6bf7dcf05f24314163f439af79,16
932cbb243cb951b40884efac3360dfc85f62d680,11
aa84691881c2823e58c4cf9efa0c88622b37f9db,39
46dec0fe3c842ee25127245c192a8f31fb24107b,34
89e4e2276dd9ef755a2bea2901fccbdaebe9012e,26
5ed4dd7ac722a9a8cdf37ea602f4f3dc4cfd28d8,12
04452e2b1504905fa40b02c53bcdc11da4318ff7,13
710e0d1a8f7a01f12094b20f160babb45e23b54c,11
c1a06a898e90f4b1da733d120e44ec8dbb30c430,59
a8d2cf129a96883151fe7cacf4be40e986cad7f4,15
6a9c773020d224ee27d3c17be9b5287b5b7bb0f2,15
570122433b962162e4262191788b4683d42d3479,15
69b879b4fcdf8e2af3db5fd2ab5500f2606b312d,14
9a8b1307e976db894b7c50a83eaf2ed0ea38b712,15
e1ce2b15bec467945295ff7113d1b630e635a418,15
0c2a73f8f9e9183d141d00479275e352ccbe8939,15
b57dfc735eeda8483c57cfd7e44f74c85b0bd8a5,17
d305481ecd0b419698cfa4f01d087a10c78ed8c8,15
be050640a637feddea3f7011b99cc594b104645e,14
e961f27ecb5a8f3fc7dddf5d0d4a5d129127cc69,15
0e14cdcedcdc0b4530933ef7c442337d123f22a2,16
be701ebe5d504ce1d32374eb2d01a1b2b9a89a87,15
57bf6f14ed80e57e249193f463f4993f90ba8615,70
427d48d9d57b9f93221338835071338f8fe177bb,3
18c2889f4ea1ad56f5f07d933a8399fbf5eadeb2,3
7c4aa7e9945ac4be2504e26b2018e76ba9188484,14
c867e5f973f61eb5805d75d59b5214024a80bb0c,15
82681161d9c58b6c84f00d74a71113f402e0e94d,17
eac4f69b38987f80ea6276a264c076ca7bd16bd3,16
03f32a1f7fd539b782dfc94fdb77f0b9b8d197fd,14
6e55388ba3a989aa2583985b2c9d481c10364bfe,3
24b384287de3ff0c1605afd6d3bdf279c84eae58,19
916cc60b4b84614cfaa7380c66dd4afe3c75f488,3
7d3a62bcaf6c72c82b460e0369ea26223672826f,3
c4373401f1f84fc7c15e405d83785b760076f8cd,3
7b8461f9ec480a7e37c2a55e771d94d222989fe6,4
a6f392282211e8dcb3f9768939228d46d77b6030,4
fd082cf502d52623b7f755d023f150b3326a0c94,14
3ec83b0539edfee5a28fd93bb10edb8ae1f5577b,14
eb019cfd8229a73ced0166fad80344743b2077ca,3
8ee6c1940294778f6745e5a0fe77ce3940f67d10,15
c09321c5287bc9adc063b65fbc8591cfa3688767,8
780bfb95abefbc255f44175ae748be1f5ad9cebb,21
b292fbd5d0b9143eeaf977cbdaa6e21cfbcdd820,16
1986081e40afe2cd09500ac52a4c76e2a7896c0c,4
347c203943b68a1dddede34185b0b3852c7d598b,16
93866336224004d75ac2cf9ee80d32f54885fb8d,16
d7cde2075b14f7ca0f4e3cbc8027bd0ab198a624,17
a6ee53fabb8b7091e621fd7de0e45a30b9e85092,15
d763ea06a0013edb2b7d83ec29f0764b1452b10c,17
3d2d1dd0e726b72806bfae61afb6ad76361f93b1,3
bdfe13819c614bc42277e08c490dcfbd8a50bea5,16
413759a5c9b273d5e37d8fdd9845fe603f64bf31,16
f1fb7f6c6533ab78305234e2d2a50716e535c44b,16
4cdac85a85b5990580531d8cee0aeab71c6cad0d,15
dbcd7ca00340ebafe24fa445bdcb0d7b8dc4e32c,14
