cycle_id,time_end_end[sec]
8d0e9d6cdb87188005ebc9fe839e0159031b832e,64
f9e08f8eed413e17c5d7655c686e7f4019779950,7
e263a7cf75537a505a69015bdf2312d4a1a0fc41,40
b0a68dbc52507dfff51eed7ff625cc37dbebde0e,8
fe0db49d62f50afabf12da2b9077ed87c0f37ed1,71
db23207891d4c88a828cacff06f799c39dd29c2c,42
7233bf46d9008b026e822053d793d38c0f6d92c4,41
354f627aaff8fe98d3c71fcf0a7205164fe24068,64
f98a1ddc19803559812d70b4326db9c70404f0fc,29
1de6355b694ed9d9e2074c3dfb5bb4f3d39e6611,8
db1419aa5f6e97ae6a8e97b3ad4dea6e063d5c23,9
efc754a67cddd2dfd0015498b2ee5218c6025ef3,9
4f8452880afc3fbedeb1f16e1b72035c9305be30,40
f4e275e781db855eda690fb3d3b48ceb9476adf1,7
97aad922da38e9640bafe2011d1f437bd7ad7c95,65
6bfff9055ba3db5df39445712f28f3142de2f92d,6
676aa790441780aeada06499fad9b3321618ebff,7
047c2346766d8ac087dc6573b9bd2b26cc26ab51,7
a39385a500fc0e8993d967a8025b931d3337ea04,7
750d338864a92521f4daec993af7ef0aba9d609b,7
0f09727be891a123005992eedb16963ec14578d5,7
9f0c54042226e1b19f4eb48b8f09885ac2aa221a,7
5f3e1cecb76c4eef043607ee231f50d7d68c9108,6
bbb4c8810247c0f8697bd677eee0c9895235afcf,7
05fdca32c087afeff5f0f0901c52cfb1264a74cd,7
7197abfd17530a5417097268a1e18a685edc5889,7
5d3269b1c5d2bfed8720814b439830a00f64b36a,7
e84d32281523bba86c06b457a78cf092902ab2b4,65
9c38fde99627d7d8cd7ffe3c7bd704824bab0960,8
b2dbfb9bbec197bf57cca03f47253d9551769bf8,64
a1f4d43253ac11abe8cf3ed53876dabc885d7b30,8
d765941b4ff45091a2435e98a007d9131293e96f,7
4271d0f15e0b675a83f20343eaa38fe642b09e65,8
cbc5a146154ada255d491d6509497d0d57bad336,7
1d2efd6dd123884324098eee62871e007268333d,32
09d8687ba1612f43769d72489a5c89d40d168718,44
effe551657921069b871519156a934e4ef3ae916,84
586d223e8049873dfa350e5f575e3c03e714dbcf,7
9afc2969a3b491476525e100a8a542027576952e,9
7705470ba1ca2bf95f6442f06f68f007f33a4aeb,28
fe122baccecc1689d128482a45694a0c3e293796,64
1e0666d90d8a12cb010265ca453a5cdfadf1ed77,64
5a23a77eacd7f42931f2cacf81061792b5052040,64
ee2f71d9fd2ce253f53de137950fa90087b9f565,65
74ddb1257444623206fcbdd8d0ac5e98d57ca2ba,64
0d3290e74ffdd8be397d14fececadca5516202dd,28
9a3040cefb70a20e34b05a675d8a485fc2534dfe,29
6d8ef99f2ed43b9f71005561af57e50c3b24f7d0,29
54f7d7392badfce4b44e834146d93a6cde58f904,30
328ff753a9b0e231f3198b2e5196219b8740f8b9,8
982ecd8aaf88282a64c96fd274bac94a405cc419,66
fc28a719269de923c981b97c1c366784183c6d56,3
626bad7173e456c2af4ab9fd1ab311331a7b69d9,3
3e947380d02dbd6d8f4e7590e3282498a16d6d32,65
a74b6ef5632de238a9cfee97a9dddef1143b880a,32
eda31906bc6c2ab4a91d77c8706977a3586a81e2,68
7f15b0e5cdb5c92eab77b33da0eaae6e546910f7,63
28e27d5452bd9cfc707231b1b3f5234422711109,63
5a55a774056b400f9fc488fe8519bb9f73d02ceb,9
