cycle_id,time_end_end[sec]
caaf97ed8804ae3bf6fb17cd98a5814cab834688,17
ce0c082898e3551d313fb5b73763f399232b3fd5,16
5b98a73e4db8d0cb1f29138b2f14319df7840ce1,22
1d1883f0e20215720eb583fd43eee088808c616b,32
bd9adbb637a8a4aa5eb61c6fde2c576d0ab3c4fa,16
0fe9685c8a78ba2d780a3ec1e1a323990dc6d218,13
3899cc6570bd9176c84ad2d5d14febc6c0ddd964,14
697329630f16ee37cab30004aab5b0831fc9ecc3,16
009e33bb5d2950ad46d80f0b84ac77f075378859,13
0223a4d4cd127a1e209a04d8e1eff3296c0ed8c1,13
aa31bc6c313789c344d715b7c1aeea0cd8de47e2,15
7e85d1cf54b1e467607a0019b56f91577ebe2e4f,24
13cd4e0ac3ab76a4dc091eda457f9a111727cba2,14
648eebba22d6398a01b0924975bedced8469ac80,24
eaa9269ac80c2a957cabed0c46173149a4137c24,25
4a26a86d0c0d9a72a0505ceedc7f1e39b984c302,18
e4b7ee81c1773eeb0bb71ca53bf722f046c16a16,16
fbb5d31a581c24e925c442a7754358d2b62a669d,25
ec2fa6bd5695b36435cc66ca4cdd8183d077a0cf,13
a06c99b9c094d66f0d33bd69e15fe01ba52a8b05,14
b2c1afce7eb13ea44fc7d25562cc3bb83cc91b2f,17
c7c85ee39892df3ca007c6596c41654865be7e43,17
1f56bd103d53c8c6ba7502c6586c26be01bfdb80,18
2d61e349dbd3e2e81450c9ac531218220b7e422d,19
c503d742f094dc2048b72c3f78f5e2e6070a44e1,17
0a0a35f54f5e7ab2d10022d3ee244cbc876bdde2,2
a2d41db55aa46bd4fedb215c978f03e282cf1ffb,17
71d9e00d42b278ce9d216b33bf1a9c8606fbcb49,17
0b11c6043467e9d06880a069bba68d90fbcbb018,17
5ceb5f57212935386737ef4af0d066e9fd38c5a4,15
ee6f3fa7a6d82bbedde4fece8704a7ce42dda3fe,15
5b5b374de30f5a2b65f465e4c3a51b1a97ec4f1c,15
cf6b6d8eb1b524b73cdb74168f3190ab471aa52f,16
ff8fd9578ee8f66e6f80cd7b9f204767845b7339,14
0bdeb204c880f13890719b102c9f22bc49a84a1c,16
9e2bcbf520bc8850b8b3a50ba619bb648a1416db,15
d4fe06de87603408bf2054028533dfd2af286550,11
de125de49a652391f0c38e97001c7863da878f1f,15
a81791c093ffb27150c98585aa3bebeabd3586d5,18
291eaf16bf208e1012dc5da722a53fb5870c3035,14
d772e171d64c9dc617f16cbb8475d13792538e15,13
d0049e1ac38c11d10431b2b9f76d03f3a62ab44b,19
ab60f735c721103ac888d8d7b801055921336687,13
ecf6de89ba1a6542c68194e95d14ea944b6c92b7,14
a2660687980b36003a612eb89b40d6fdecb4b153,16
b3c31a379e9ad7cd22cb7f0669b82361ced84992,17
4ff5974c4ab78f82ab43ff6e518fab72b366c1f6,17
204ed0048f4812201ef65c9a0c44fa54a7d1e04f,16
ae91ab56ac68bdb2a42b694167c8e6d77026210a,17
be21e8fc35f564abe742026bc234d3bc59e84bf4,17
05a6beba76b3195b26f2b15919d4f3a95b22c580,17
e64b51c70fa9f5e2795e91e6729ebd895f7f3c01,17
dad86bc0a29689fd29bf03b382a39621718e8b05,44
9c506279188a90dbbe124386cc52016682d17b5c,24
b9f04d9be3e7ff300520da194fe29ed5c1861787,20
ad1b72b7ece0166c5fbe0c6136213589eeed9945,55
8eace0187ea2c0c1a6e3a5b5e24e701f6e23ae94,18
72bbbbc559992e5e6bf17279d8194aaa80c62e85,19
42f2058c83f256d8654b349d5249d6f59920f88b,45
d5293751676da9816a415dbc8a3cf703ff13205d,12
feb7ba55120feb5e3ad3f526fae7dee1b5189d9e,12
ff2672a57816d75a740813f8d26d830bd2f9b7cf,13
bdb074610c87a210ea4c0d91d579cb4558f4b19f,14
64d820bffae723b9c8669301b246ae199db61b5c,14
09686fad46d49016057bae8f02dc79f409b7bd10,24
0807eedad6aa9544d90b2e7cec103fb9c40b714d,21
d58d64ddb1f205a54c7eb57fe0cbec9c59cad8d6,18
d962a2b31c9a7216c2df557eaed3e475b13939f1,13
3421e6adb4a3a4fadae79feb0f180e78e2698374,24
9c5b6cdc7108eb071785b0c4edd205650cdf1ca4,26
31d02f6806e4d2e9ca86706af33acca334bf2eef,18
db6f7c1d74ba64211221a69cfa9fe7171a9199e8,18
78c373d7bc23e81c82cac6feb66a9f6b9472f8ab,17
8c99b8299df8f5af5136e4ad53ea5111f953db92,13
1eecfc948bf6f4cbb9a2481313ca7368ec653056,18
ac5a216f767c6defa4da720c6ecb3baa05e30254,13
cac7a60abf0a4451a5c80ef57343a14ea1ba443f,59
d9a2c69a9d1db6072e1d7b7ea4fcbd5c15d20b5d,17
a3b74d9c230a85df8ebeef3169fc1cd0439c9a87,52
d0f6be9886afaee6080cd4b7cd5d165c767b71f0,12
8ac857c41ec8ae02e57eb0c1c1a012525e7e14b9,17
10d2363fcdd6e15568f765ba0dfd5f0cfa0b04eb,16
5f4249e2ec8cccb17b27a7ffd032c4fc237a6927,13
8232c096cef785a2ba88a7324b882a7badb0af44,12
c6a410adf832e0e6eeee824365b1c5799bfc1391,12
b10d58ece8657de1b132cbe2c766bc25f1fd2986,13
a04151819758fceb7f0cb855d279c9d46b2e9851,12
86a59601b570585dcb7a1ce3d1ccc8e16008f53a,17
33bb9fe25b9200e75cc4bf2483b17a35df960034,28
809e2bed22f02264e0ac58bba070f6d84386cfc5,14
5acf310d08b2bc5182cf936616ef70938cb2c499,24
38140a5d8dffec88f7c88da73ce3989770e086e6,26
4a32861c326696e82efd3947384bd6d949faab28,17
103b64a373256feae6ca85f2bf220e7694e48fa4,24
6423a7665516d738ae50d272e3b4ca72cdb89a9d,24
91d6bd74fa358fdc8d7cb7681c76c509fd9a8e7d,17
8f9271399aca64a6f5afe36d3eec365eb68e310e,18
8274993e293a79fc75829df398233915a6387a4b,13
e2dbe55d56bd6c1209276050f527d36717e33e1d,14
10325422e5a4735aa87a4d47bdb377e09fe963d2,16
a945ecbbdda782b51d5c2c670345fbf4dffacab7,25
e4c72a5522aabfa6a660088aa9262d849756e464,16
8c5335e6c67f88568099622cf37667d69db06524,25
4f82195afdc4279c05826fc20f8642bfdaaafec3,60
607e3447c92754d871a3f2eb8c472e45afed6c1c,23
aadb9a31ed969fc72cc87d486ec02383faa5bd06,46
eb2b89efbe15ab0b70fd94f0ecd0aa03866fb4d2,51
