cycle_id,time_end_end[sec]
e31a222cef8ef08f4dafb01f41b6a2d6c26d64fc,29
71fd124ddb1f311a8cb64b608f385c87b67cef14,35
f08b05b15ac09709c948fbcb8f843f421c1d4db1,30
02cf7cbffaf42ba6cc76452bfa70db8b2da611c6,27
b69e6ca5c1a74f5a5646df240bea701922caef83,70
a4118e288f01ab16e861cd7ac107fff62a32b86b,27
61b2d1f34c1f3c2b14fe4a131ec5d552c3dbbb61,65
75d4db00e1b1d4ef53ca4d0c5ac247ec92cdb2d9,35
08e918330eb2555fc90b67957f53ce08141d3b13,187
fca88f8e3d44d743e82ef2fb3ce880f8b98149a3,29
25e774c315e29328697eff6d12df80ad0bc48acb,26
d385c90c2e74fdfc0070f7d92d6d0c260251fc16,17
792839b464bc3df40f773147b7694b761cf23b5a,17
ad882055edb50369bd174ae56a372838aa89cdae,14
a7363a2ae67b585790896de45f57154474480fc9,18
cc4ab51ee9e001a0a999a2a43ad5bd323494b800,33
662b6cbe5ab5c3462ea9c23f2c2dfec9ad75b855,27
b6a5d26e7473ff4ab3a11bd99515e4dbff8193ff,14
1744e2803f1600761afb2ea8a91a7fd12f7fbc94,45
8af568eabb916ad2ff780fcd0838fdf29f57e97f,127
2af899b74b5969bb56a2ef813315a1d85f0c9fcc,31
f25a61670e378dd7f24ac45f55df00632979192e,64
2f2a2ddaf6ac85da7cfcc5957614eeb880b795d3,35
2bc9e7ea86a8cc1c3b2436c46115c87080228004,18
76f154179b8dc6940355d7fe7db468314ca39e84,18
30b9f935e7ea56026e5c5347e897df52a3ad18a7,18
e9464c0a6db34576fa390d041e702b1f03c74b37,100
abffaf334c4302047e013a112c286a9e4d2c967e,1063
e875e6d59875be86fb8de8df7642c370b652eb76,138
2a59e0ef4b8e70742a21bca76a629853aedbbd09,20
4080feff61e8dc1cd4af2361990c33c9f1014147,23
97d32b14e6dc7cce01f9c2cd53e03bb996863e51,19
97accb47de63ee5063eda23641c6017e29ab81d7,16
e3dda4407a3f59bd73350ac780f43eb885967b5f,27
58d613bd8d20a77f4da8c1ee49cf4028c011a2a7,19
026af89ceb5f314a2086b87bd62fb08a1b17be40,22
cde43197f980538e411d851735ac7a63ddd613e1,21
a67f0a33e68abf1c985db28b19ce70f427fd48bd,233
9d14fe21a4044dafc984e1626ac5f465e35179ee,16
86b92b4e56a781d193d2505d686d1776f2becf10,22
69273dca6188a3d7d629d0d32dcf9cdb5b6c1036,18
4cb944ea687d84a54d679fc3f5362e2950551ff3,54
0dec6e76fb544fa3e8bf5fd17f16314735971dd7,17
a3fdeb4da91d8aef50f40a3f9906494593ce2eca,32
f820d06fc0d1204b0cb386214ffeb42ccec669ec,16
321fd029ec5c9c3c9717f1ede0add49d8a709a01,27
fc7eeb4801b1ea7524b9329d5584c2e5ed945913,62
f5a8bf398c84bd4cdeea740c1a5b7b39cac4f777,53
4c5cda210eecd7f82c4ce88e3092dbcd13db5b48,30
d8bfc8c8f8864f9c22e0409780d5dd3fb30497ff,36
bd3a6ecaa777247aaa6175e5c4721bfbd1645451,56
566c4d59a177be4b65d17540576eeb34d28d24ce,33
a516976947341e0e18bcc0858d85d34cd0c02cdb,18
a51908af1d49d968ee919c221cbd9a8593b1f21c,58
bf88cac1ac03ce9378970e5a3d66ba77b1fe0dca,28
f44d4852ab758cdf0011efa028c85c68b8b36bee,20
b5e155e7d0448a100e9d4ff7d178a2fb9ea9f659,57
29b193629150c9a38949a6afa5b620cdb4d7f6a6,37
31fae6431438e26d6b47b988164847048ceab314,37
7200c43dea3dbfbd9d38b937c44b6e71744b05c5,19
79ae77fda8b987b01b2e49dd0ae84819778634dc,14
4a6bf542e1929503f354d0afccc76e19d1cae177,38
25aa4bd3665d8b265f03fa2b3e7ab6ee68256367,21
f8e6bc8ec72fd02cde8c705ca17609c76a07d3b8,17
45ae5c7e42b07ff24e2385de57f70e9484a46ae3,15
7df65a5ddf59b564af1d753b89d30f8dc33a2c5d,38
cd28a018fb327d38a30c502bedca66cffb26f271,17
596ccd59a11ad5e9fda19ccd0f4fc714d8d3394d,19
e3700ef350bf28b3ae3afa2fca5eba01e7801741,22
9786ad4de8ef2f0aefcbe2bcb14889bb148eebd5,22
301ad592142079d36f4d33f5309c103c7f4f5dfb,16
f8a8ea748a0b3015490ccecec7b97f0ab2daf9c4,16
8aec465b44dedb7deacf80111ea5286914093094,18
046e3a2f58decdc3eb9f69e14fc0f5c3a9e6b4c3,23
0802df0f7376ca7aaffa7a23b2cc1f2c4c0c8aa9,16
136bf34297a9ac8049e451800df819ebf092cdf2,16
34f3f4196084768b2ef6b3db4608d8eccec50364,18
c53f2106109153eda10c47a6960a5a579d1530b8,21
e11c00085cf0ba8c692522a851a387b63803c74c,24
c29e3d681f2a46cc3288dc4f38925efbcf30c233,17
5f667c031cdf02adbee9ef83cb71990333c58ba3,16
26ee48193928f525fe0885cba6b28fdc8eff6af9,31
6525cc4035fe8df3308c03f0ca9f450728e122ac,33
84cf29ecf31c67c7640f8821d4fdda625a173aa6,16
893ef53c6cb9b243ba8f28c8cad6e42c8019af0c,16
e6aae3a8bffb981b8dce19642cc1ab831a428cae,20
d21d3a94abdbcf5a890fb1b5de28f1060e9e584d,19
428a48533c711f3a27376f0eadea32c95657ea51,17
b4fb13bca9c41e3e59a5ea8e3f8ec4bc0110ba17,16
17f52a2e559e68d5c6ccc98fcebb5523161fd0ed,16
10b1c517cd5c0083cd0ad7a5f23167d66d1e59fd,20
fd7a4362caf2cd69368a38f2f71ffe19706e341c,16
c8f122c30463a186b0586c1370aa2b8e87890375,20
753f278d10fc0c92e912965379401ac182644101,15
491786ce4182daa57ea61deaf701f756f57f6f1e,16
de73ad3115c19d5f0771754d233d74055a2a10bc,68
7fb571b16cc4a0912e8d74609941563c79fe9e97,69
2fb2221d487d925fd5d716173a80c798986aadf0,19
d5f586bd4e1a20fc09a33aaa5c2b9320f4a2aa72,16
ed6109d0a26f9657aa964e9c5cca4b1cae82afcf,16
92a027bc73d5ef67c4b2ead2f3ef63f198be1e26,15
59fe593a42bc2da17a58e396afe6d3aa4f99c53d,16
809f0f89cb53548a7d0a9f9f52c4b36f60c7b6c0,78
f80f577748c0dbde45d24654247a82a7121d456c,15
376958763cda7cc546e4446243638418fefd1568,55
b723f82bd55e1b78a370925393d3ee638020da0b,193
540aa2e7ed7c0c0add1daad7fb548e156435e0a2,18
8d4fd1dabbae4d7ebc2b273af9275ef8bd0e1ce1,34
26e61145839e4da47eb83edfba406ceefc0b67bf,27
44401d183d6376a8b9eb5a81079e46f0f68325d4,16
6e5eedb3fcebc5894c41733bd26c8b4d9197873b,16
3b7d0b95466139a147fc504b7c18897dcc826c65,5
6a82f92584b36e28798479c82c0d3263c6347b90,15
e42ab0ec6c4a1b7838ec9f14143126d4b6cad548,24
3a7519fcb190a096f4f00b9da357f79acd517bc7,21
61f3eba79d382c68c27ecb9eb3ad259fc5b75c20,19
5e6f4f18ff315825284d697adc1d721983da8693,18
0c1e6fb256aa1b4f963d325ac818f09955961459,30
b8e9475505fee98aae2819c03a33c7aa3db843d3,17
a14acdf6395f588dda7597bb4c7810dacaa503d2,17
c4768568c9981ea4efc942d045d9349ef2596af8,22
ac1ebc0e9b0fdc2335144d3587712c1c29285731,5
85a20aad64be04127106f492e26f6ad6d6c228c8,16
1325e114108136eea3fe77a4a270a2da7eff98e2,19
bae46709ecb13f80aaad0d279b3618ab83d09275,20
dc5f850d1d9b0b952b7f0dabd6778cf0f7675cba,19
b4abfb93676fb0abbab1d9bac40ba2714a3872f5,19
9a9e7268162f9fed146c74a8acbd234d9bc2ed84,19
b262c2359c9ed53dae3ce2ce7a0092273f4eec65,19
