cycle_id,num_testsuite,NORMALIZED_FPA,accuracy,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%,prediction_time,learning_time
66338dd9c4bf1e76be830749d9bc93c7be35cb2a,1,1.0,0.0,0,0.08199999999999999,0,0,0.08199999999999999,0.08199999999999999,0,0,0.08199999999999999,0.08199999999999999,0,0,0.08199999999999999,0.08199999999999999,0.0011658668518066406,0.41400814056396484
d50feb67569fb5881b8a2ff5996f656c5f207c2e,29,0.7281122150789014,0.3103448275862069,0,3.004,0,0,0.007,0.239,0,0,0.075,0.704,0,0,0.237,0.8640000000000001,0.0011229515075683594,0.5752801895141602
2a95bf89813ebf321955d191afda7e0b08d69710,23,0.7486123959296946,0.6956521739130435,0,2.9600000000000004,0,0,0.035,0.42700000000000005,0,0,0.10600000000000001,2.5749999999999997,0,0,0.21999999999999997,2.6799999999999993,0.0011050701141357422,0.4209160804748535
58fa9a673547c884cd1f11a8927414e563480358,27,0.8235209235209235,0.7407407407407407,0,0.327,0,0,0.0,0.042,0,0,0.0,0.049,0,0,0.007,0.20700000000000002,0.001222848892211914,0.030888795852661133
0d53852d80cc686b47b4b0c1b2069f880a09b451,1,1.0,0.0,0,0.073,0,0,0.073,0.073,0,0,0.073,0.073,0,0,0.073,0.073,0.0011911392211914062,0.48529791831970215
0f540f0f5848f2262e1b8937c39e269a79731efc,1,1.0,0.0,1,0.052000000000000005,1,1,0.052000000000000005,0.052000000000000005,1,1,0.052000000000000005,0.052000000000000005,1,1,0.052000000000000005,0.052000000000000005,0.0011310577392578125,0.6666371822357178
0bbe5b59af443da2c3101cb9259e7ad68152dd13,35,0.7578135479543929,0.6,2,6.029,2,2,0.14200000000000002,1.277,2,2,0.207,3.403,2,2,0.342,3.508,0.0011210441589355469,0.6500039100646973
5cf68bdc46c7bcc0fc5eb3cacd1c84514ef552cf,10,0.8181818181818182,0.8,0,0.714,0,0,0.009000000000000001,0.019,0,0,0.031,0.52,0,0,0.061,0.549,0.001129150390625,0.6593241691589355
f8bf45444c49053a92f6f560c5008d5ac43aa27f,12,0.8246153846153844,0.9166666666666666,0,2.6279999999999997,0,0,0.005,0.09400000000000001,0,0,0.024,2.154,0,0,0.14600000000000002,2.187,0.0010638236999511719,0.6729962825775146
af1f8163af8b52bc28a18109858744967935d828,33,0.7621518078058904,0.6060606060606061,1,3.737,1,0,0.02,0.956,1,0,0.042,1.314,1,0,0.126,3.4330000000000003,0.0010707378387451172,0.702268123626709
c12c48ce91c6b5cceb61043a914d0b438b7a6900,3,0.7142857142857142,0.6666666666666666,2,0.31,2,0,0.155,0.155,2,0,0.155,0.155,2,2,0.31,0.31,0.0010650157928466797,0.6956958770751953
31b546aecd87725c8a1274d1485cee89bdddfdce,21,0.7151917849592269,0.8095238095238095,0,2.8579999999999988,0,0,0.01,0.309,0,0,0.064,0.601,0,0,0.144,0.651,0.0010690689086914062,0.12842202186584473
6e8bb88263dd64b703679bf853c15f40ac07e347,9,0.8982456140350876,0.6666666666666666,0,0.256,0,0,0.009000000000000001,0.023,0,0,0.034,0.048,0,0,0.068,0.148,0.0010628700256347656,0.21615314483642578
